"StichtagDatJahr","AlterVSort","AlterVCd","AlterV05Sort","AlterV05Cd","AlterV05Kurz","AlterV10Cd","AlterV10Kurz","AlterV20Cd","AlterV20Kurz","SexCd","SexLang","SexKurz","KreisCd","KreisLang","QuarSort","QuarCd","QuarLang","HerkunftSort","HerkunftCd","HerkunftLang","AnzBestWir"
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","12","Kreis 12",121,"121","Saatlen",2,"2","Ausländer*in",11
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","12","Kreis 12",122,"122","Schwamendingen-Mitte",1,"1","Schweizer*in",29
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","12","Kreis 12",122,"122","Schwamendingen-Mitte",1,"1","Schweizer*in",21
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","12","Kreis 12",122,"122","Schwamendingen-Mitte",2,"2","Ausländer*in",26
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","12","Kreis 12",122,"122","Schwamendingen-Mitte",2,"2","Ausländer*in",18
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","12","Kreis 12",123,"123","Hirzenbach",1,"1","Schweizer*in",24
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","12","Kreis 12",123,"123","Hirzenbach",1,"1","Schweizer*in",19
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","12","Kreis 12",123,"123","Hirzenbach",2,"2","Ausländer*in",18
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","12","Kreis 12",123,"123","Hirzenbach",2,"2","Ausländer*in",23
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","2","Kreis 2",21,"021","Wollishofen",1,"1","Schweizer*in",55
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","2","Kreis 2",21,"021","Wollishofen",1,"1","Schweizer*in",48
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","2","Kreis 2",21,"021","Wollishofen",2,"2","Ausländer*in",25
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","2","Kreis 2",21,"021","Wollishofen",2,"2","Ausländer*in",31
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","2","Kreis 2",23,"023","Leimbach",1,"1","Schweizer*in",15
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","2","Kreis 2",23,"023","Leimbach",1,"1","Schweizer*in",11
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","2","Kreis 2",23,"023","Leimbach",2,"2","Ausländer*in",5
